"","id","country_city","start_time","end_time","date","mean_temp_celsius","incentive_local","exchange_usd_local","incentive_usd","gender","point_value","site_id.x","session_n.x","subject_n.x","tr_opponet_n","ch_opponent_n","version","treatment","dc_cl_ps","dc_cl_envy","dc_c_ps","dc_c_envy","dc_cl_ps_points","dc_cl_envy_points","dc_c_ps_points","dc_c_envy_points","pr_correct","pr_wrong","pr_not_attempted","tr_correct","tr_wrong","tr_not_attempted","tr_die","tr_total","tr_guess_correct","tr_guess_die","tr_guess_total","tr_other_correct","tr_other_die","tr_other_total","tr_result","tr_points","f_happy","f_energetic","f_frustrated","f_last_meal_min","ch_correct","ch_wrong","ch_not_attempted","ch_die","ch_total","ch_tournament","ch_other_correct","ch_other_die","ch_other_total","ch_result","ch_points","ct_selected","ct_tails","ct_points","task_paid","completed.x","total_points","total_local_paid","total_usd_paid","final_version","comment","f_last_meal_time","start_time_h","end_time_h","site_id.y","session_n.y","subject_n.y","q1_gender","q2_age","q3_education","q4a_live_district","q4b_live_town","q5a_birth_district","q5b_birth_town","q6a_departament","q6b_career","q7_people_household","q8_marital_status","q9_live_with","q10_children_care","q11_children_biological","q12_religion","q13_occupation","q14_socioeconomic_status","q15_income_consistency","q16_membership","q17_exposure_index","q18_stress_1","q19_stress_2","q20_stress_3","q21_stress_4","q22_stress_5","q23_stress_6","q24_stress_7","q25_stress_8","q26_stress_9","q27_stress_10","q28_stress_11","q29_stress_12","q30_stress_13","q31_stress_14","q32_stress_15","q33_last_month_1","q34_last_month_2","q35_last_month_3","q36_last_month_4","q37_last_month_5","q38_last_month_6","q39_last_month_7","q40_last_month_8","q41_last_month_9","q42_last_month_10","q43_satisfaction_1","q44_satisfaction_2","q45_satisfaction_3","q46_satisfaction_4","q47_satisfaction_5","q48_trust_1","q49_trust_2","q50_check","q51_trust_3","q52_trust_4","q53_trust_5","q54_trust_6","q55_trust_7","q56_trust_8","q57_gender_1","q58_gender_2","q59_gender_3","q60_gender_4","q61_gender_5","q62_gender_6","q63_gender_7","q64_gender_8","q65_gender_9","q66_gender_10","q67_gender_11","q68_gender_12","q69_gender_13","q70_gender_14","q71_gender_15","q72_gender_16","q73_gender_17","q74_gender_18","q75_gender_19","q76_gender_20","q77_gender_21","q78_gender_22","q79_gender_23","q80_discounting_1","q81_discounting_2","q82_discounting_3","q83_discounting_4","q84a_friends","q84b_friends","q84c_friends","q85_feelings_1","q86_feelings_2","q87_feelings_3","q88_feelings_4","completed.y","q3_education_t","q8_marital_status_t","q9_live_with_t","q13_occupation_t","q15_income_consistency_t","q17_NA","q17_witness_attack","q17_attacked","q17_fnf_murdered","q17_exp_violence","q17_property_destruction","q17_polit_instability","q9_mother","q9_siblings","q9_NA","q9_partner","q9_alone","q9_father","q9_roommates","q9_siblings_l","q9_own_children","q9_friends","q9_mother_l","q9_father_l","q9_joint_children","q9_spouse_children","q12_total","q13_student","q13_employed","q13_home_wife_husband","q13_NA","q13_business_owner","q13_unemployed","q13_other","q13_self_employed","q13_agricultural","q8_single","q8_married","q8_NA","q8_separated","q8_divorced","q8_other","q8_widowed","q12_NA","q12_Non-religious","q12_Catholic","q12_Protestant/Christian","q12_Other","q12_Hindu","q12_Muslim","q12_Indigenous_religion","weak_egalitarian","strong_egalitarian","weak_generous","strong_generous","selfish","spiteful","maximizer","fair","other","stress_factor","trust_index","FF_total","FF_mean","TB_total","TB_mean"
"1","001018001","mexico_chapingo",12H 16M 0S,13H 14M 0S,2022-06-20,28.5877192982456,100,20,5,"Female",10,1,18,1,2,9,"A","0","1","2","1","2",16,20,16,23,7,0,5,3,1,8,2,5,5,3,8,6,5,11,0,0,5,7,8,180,9,0,3,3,12,1,9,3,12,1,12,"2",0,9.5,4,1,23,330,16.5,"1",NA,"3 0",12,13,"1","18","1","Female","22","5","texcoco","texcoco","tepic","tepic, nayarit","departamento de ingeneria agroindustrial","ingenieria agroindustrial","3","1","12","0","0","Catholic","6","4","1","Yes","1,2,3,4,6","3","2","5","4","2","2","2","3","1","4","2","4","2","2","3","3","3","4","4","3","3","2","3","4","2","4","2","5","4","5","2","3",4,"1","3","2","2","2","2","2","1","4","5","1","1","4","5","1","5","1","4","1","1","1","3","3","1","2","4","5","4","4","4","2","36000","4","3","2",NA,"8","9","8","3","1","Completed Secondary/High School","Single","Roommates","Student","Yes, I’m paid, or I earn money weekly or monthly",0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,21,-0.697133954194287,25,3.125,16,2.28571428571429
"2","001018002","mexico_chapingo",12H 16M 0S,13H 14M 0S,2022-06-20,28.5877192982456,100,20,5,"Male",10,1,18,2,1,NA,"A","0","1","2","1","2",16,20,16,23,5,1,6,6,1,5,5,11,7,4,11,3,2,5,2,22,9,8,3,240,4,0,8,3,7,0,4,3,7,NA,7,"2",0,9.5,4,1,23,330,16.5,"1",NA,"4 0",12,13,"1","18","2","Male","24","5","texcoco","texcoco","ixtlayutla","ixtlayutla","dicea","lci","5","1","2,4,6",NA,NA,"Catholic","6","7","2","Yes","2,3","2","5","4","4","3","2","3","3","4","3","4","4","1","1","2","4","5","5","1","1","1","1","1","2","1","4",NA,"1","4","4","3","2",4,"2","3","4","3","2","2","3","4","5","4","1","1","4","3","1","5","1","1","1","1","3","1","2","4","4","3","5",NA,"4","4","2","8000","2","0","0","0","7","6","4","9","1","Completed Secondary/High School","Single","Own Mother, Own Father, Own Siblings","Student","No, some weeks/months I earn money, others I don’t",0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,28,0.535264951013574,26,3.25,19,2.71428571428571
"3","001018005","mexico_chapingo",12H 16M 0S,13H 14M 0S,2022-06-20,28.5877192982456,100,20,5,"Male",10,1,18,5,9,NA,"A","0","1","2","1","2",16,20,16,23,6,0,6,7,1,4,2,9,8,1,9,5,6,11,0,0,8,7,3,240,7,0,5,5,12,0,4,3,7,NA,12,"3",0,8,4,1,23,330,16.5,"1",NA,"4 0",12,13,"1","18","5","Male","20","5","san luis huexotla","texcoco","oaxaca","oaxaca","sociologia rural","ingenierio agronomo en sociologia rural","3","1","2,6",NA,NA,"Catholic","6","6","3","No","2","4","4","2","5","3","4","2","5","3","4","3","2","1","1","2","3","1","2","4","4","2","4","4","3","2","4","3","5","1","4","3","2",4,"2","3","3","2","3","2","3","2","4","4","3","1","2","3","1","4","1","1","1","1","4","2","2","5","2","3","5","4","2","2","2","10000","3","1","0","0","8","9","7","3","1","Completed Secondary/High School","Single","Own Mother, Own Siblings","Student","I only earned money a few times over the past year",0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11,0.278356996440181,25,3.125,20,2.85714285714286
"4","001018009","mexico_chapingo",12H 16M 0S,13H 14M 0S,2022-06-20,28.5877192982456,100,20,5,"Male",10,1,18,9,5,1,"A","0","1","2","1","2",16,20,16,23,1,0,11,5,4,3,6,11,6,4,10,7,2,9,2,22,4,3,0,90,7,5,0,6,13,1,7,6,13,1,13,"6",0,1,4,1,23,330,16.5,"1",NA,"1 30",12,13,"1","18","9","Male","22","5","texcoco","cooperativa",NA,NA,"irrigacion","ingenieria en irrigacion","4","1","12","0","0","Catholic","6","6","1","Yes","1,3,6","4","5","3","2","3","5","4","5","1","3","1","1","4","3","2","5","4","5","3","5","3","2","2","1","4","5","4","4","4","4","3","2",4,"1","3","3","2","2","3","2","2","5","5","1","1","4","4","3","5","1","2","1","1","2",NA,"2","4","3","4","5","2","1","1","2","30000","4","3","2","0","7","7","6","8","1","Completed Secondary/High School","Single","Roommates","Student","Yes, I’m paid, or I earn money weekly or monthly",0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,24,0.0884681447011734,21,2.625,25,3.57142857142857
"5","001018010","mexico_chapingo",12H 16M 0S,13H 14M 0S,2022-06-20,28.5877192982456,100,20,5,"Male",10,1,18,10,13,9,"A","0","1","1","1","1",16,16,12,21,7,0,5,9,0,3,6,15,11,2,13,7,2,9,2,30,8,10,4,30,10,0,2,2,12,1,9,3,12,1,12,"6",0,1,4,1,21,310,15.5,"1",NA,"0 30",12,13,"1","18","10","Male","22","5","gustavo a. madero","san pedro el chico","texcoco","san diego","dima","mecanica agricola","3","1","2,4","0","0","Non-religious","6","8","1","No","3,5,6","4","3","1","4","4","2","4","2","3","4","1","1","1","4","1","3","4","2","2","1","2","3","2","4","3","4",NA,"2","3","2","3","3",4,"2","4","4","4","4","4","2","4","4","5","4","1","5","4","1","5","1","1","1","1","3","4","5","4","4","2","5","3","4","4","2","60000","2","3","2","1","8","9","6","7","1","Completed Secondary/High School","Single","Own Mother, Own Father","Student","Yes, I’m paid, or I earn money weekly or monthly",0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,24,2.1901700570032,23,2.875,16,2.28571428571429
"6","001018013","mexico_chapingo",12H 16M 0S,13H 14M 0S,2022-06-20,28.5877192982456,100,20,5,"Female",10,1,18,13,10,NA,"A","0","1","1","2","2",16,16,20,18,2,0,10,7,0,5,2,9,5,2,7,9,6,15,0,0,8,9,8,120,5,2,5,4,9,0,4,3,7,NA,9,"2",0,9.5,4,1,18,280,14,"1",NA,"2 0",12,13,"1","18","13","Female","21","7","texcoco","cooperativa","santiago yauco","nuevo ocotlan","sociologia rural","sociologia rural","5","1","12","0","0","Catholic","6","7","2","Yes","3","5","4","3","2","2","4","2","1","3","5","5","4","1","5","3","4","4","4","5","5","3","2","4","4","3","4","5","5","5","5","3","3",4,"1","2","2","2","3","3","3","3","4","5","1","1","5","2","1","5","1","1","1","1","3","4","2","3","4","3","5","3","4","2","2","42000","1","1","0","0","8","8","8","3","1","University or more completed","Single","Roommates","Student","No, some weeks/months I earn money, others I don’t",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,20,-0.255582315621264,25,3.125,24,3.42857142857143
"7","001018014","mexico_chapingo",12H 16M 0S,13H 14M 0S,2022-06-20,28.5877192982456,100,20,5,"Female",10,1,18,14,15,NA,"A","0","1","2","1","2",16,16,16,23,6,0,6,6,2,4,2,8,8,5,13,7,6,13,0,0,3,3,8,90,7,1,4,1,8,0,4,3,7,NA,8,"1",0,11,4,1,23,330,16.5,"1",NA,"1 30",12,13,"1","18","14","Female","22","5","texcoco",NA,"chahuites",NA,"dia","ingeniero agroindustrial","4","1","1,12",NA,NA,"Catholic","6","5","1","No","1,3,4,5,6","5","3","5","5","5","3","4","3","4","3","2","4","2","3","3","4","5","5","3","3","3","4","2","3","4","4",NA,"3","3","4","3","3",4,"1","3","4","2","2","3","4","3","5","4","1","1","5","5","1","5","1","1","1","1","3","4","3","3","3","2","5","3","2","2","3","10000","3","3","3","0","9","8","8","8","1","Completed Secondary/High School","Single","Spouse/Partner, Roommates","Student","Yes, I’m paid, or I earn money weekly or monthly",0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,26,0.223749730812471,32,4,22,3.14285714285714
"8","001018015","mexico_chapingo",12H 16M 0S,13H 14M 0S,2022-06-20,28.5877192982456,100,20,5,"Female",10,1,18,15,14,NA,"A","0","1","1","1","2",16,20,16,23,7,0,5,7,1,4,6,13,5,5,10,6,2,8,2,26,7,5,2,120,6,2,4,3,9,0,4,3,7,NA,9,"1",0,11,4,1,23,330,16.5,"1",NA,"2 0",12,13,"1","18","15","Female","22","6","texcoco",NA,"ixtlahuaca","san pedro","dicea","tronco comun","3","1","2,4",NA,NA,"Catholic","6","4","1","No","3,6","2","4","2","5","3","1","2","4","3","5","2","5","1","3","1","3","4","4","2","2","4","4","2","3","4","4",NA,"3","4","4","2","3",4,"2","3","3","2","2","2","2","5","5","5","4","1","3","3","1","5","1","3","1","1","2","3","4","5","3","5","5","2","5","4","1",NA,"3",NA,NA,NA,"7","8","5","2","1","Post-secondary training other than University","Single","Own Mother, Own Father","Student","Yes, I’m paid, or I earn money weekly or monthly",0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,-0.229427929245638,30,3.75,13,1.85714285714286
"9","001019001","mexico_chapingo",14H 8M 0S,15H 17M 0S,2022-06-20,30.6909090909091,100,20,5,"Female",10,1,19,1,2,NA,"A","1","1","2","1","2",16,20,12,23,5,0,7,4,2,6,2,6,5,4,9,7,4,11,0,0,6,7,7,30,4,4,4,6,10,0,4,6,10,NA,10,"1",0,11,6,1,0,100,5,"1",NA,"0 30",14,15,"1","19","1","Female","19","5","texcoco",NA,"puijiapan","las brisas","dicea","lic administracion y negocios","8","1","11","0","0","Catholic","6","6","1","No","2,4,6","4","3","2","5","5","3","4","3","2","4","1","2","3","3","3","4","3","3","3","3","3","3","3","2","2","4","3","4","4","4","3","3",6,"2","3","4","3","3","3","2","3","4","4","4","1","4","4","1","5","1","1","1","1","1","3","1","3","2","4","5","1","2","3","3",NA,"4","1","1","1","7","7","6","4","1","Completed Secondary/High School","Single","Friends","Student","Yes, I’m paid, or I earn money weekly or monthly",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,19,1.02428010115182,26,3.25,21,3
"10","001019002","mexico_chapingo",14H 8M 0S,15H 17M 0S,2022-06-20,30.6909090909091,100,20,5,"Male",10,1,19,2,1,3,"A","1","1","2","2","2",16,20,20,23,6,2,4,7,2,3,4,11,6,3,9,4,2,6,2,22,10,10,0,120,4,2,6,1,5,1,4,1,5,1,5,"6",0,1,6,1,22,320,16,"1",NA,"2 0",14,15,"1","19","2","Male","23","7","texcoco",NA,"san uan ozolotepec","san uan ozolotepec","suelos","ingenieria en recursos naturales renovables","2","1","13","0","0","Catholic","6","3","1","No","6","3","3","1","4","3","2","4","4","2","3","3","2","2","3","2","2","2","3","4","4","2","3","4","3","2","5","5","4","5","5","3","2",6,"1","2","2","3","3","3","1","2","5","5","2","1","5","5","1","5","1","3","1","1","3","2","3","3","1","5","5","3","3","4","2","70000","4","1","1","1","9","10","10","1","1","University or more completed","Single","Alone","Student","Yes, I’m paid, or I earn money weekly or monthly",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,13,0.184091649441398,22,2.75,19,2.71428571428571
